LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,FISHLAND,NLD,TONNE,A,1995,201149,
AUS,FISHLAND,NLD,TONNE,A,1996,199330.087,
AUS,FISHLAND,NLD,TONNE,A,1997,193654,
AUS,FISHLAND,NLD,TONNE,A,1998,209659.629,
AUS,FISHLAND,NLD,TONNE,A,1999,209799,
AUS,FISHLAND,NLD,TONNE,A,2000,184753.3,
AUS,FISHLAND,NLD,TONNE,A,2001,195700.74,
AUS,FISHLAND,NLD,TONNE,A,2002,200594.83,
AUS,FISHLAND,NLD,TONNE,A,2003,215329.42,
AUS,FISHLAND,NLD,TONNE,A,2004,231829.51,
AUS,FISHLAND,NLD,TONNE,A,2005,236300.9,
AUS,FISHLAND,NLD,TONNE,A,2006,197041.9,
AUS,FISHLAND,NLD,TONNE,A,2007,188509.03,
AUS,FISHLAND,NLD,TONNE,A,2008,181669.5,
AUS,FISHLAND,NLD,TONNE,A,2009,172449.37,
AUS,FISHLAND,NLD,TONNE,A,2010,173552.85,
AUS,FISHLAND,NLD,TONNE,A,2011,165163.77,
AUS,FISHLAND,NLD,TONNE,A,2012,159294.22,
AUS,FISHLAND,NLD,TONNE,A,2013,157283.5,
AUS,FISHLAND,NLD,TONNE,A,2014,153503.91,
AUS,FISHLAND,NLD,TONNE,A,2015,152432.61,
AUS,FISHLAND,NLD,TONNE,A,2016,174246.1697,
AUS,FISHLAND,NLD,TONNE,A,2017,166016.3064,
AUS,FISHLAND,NLD,TONNE,A,2018,173433.5057,
AUS,FISHLAND,NLD,TONNE,A,2019,167022.2675,
AUS,FISHLAND,NLD,TONNE,A,2020,179080.125,
AUS,FISHLAND,NLD,USD,A,1995,1133272376,
AUS,FISHLAND,NLD,USD,A,1996,1048802188,
AUS,FISHLAND,NLD,USD,A,1997,1028332427,
AUS,FISHLAND,NLD,USD,A,1998,1037446760,
AUS,FISHLAND,NLD,USD,A,1999,999826344.1,
AUS,FISHLAND,NLD,USD,A,2000,988538406.7,
AUS,FISHLAND,NLD,USD,A,2001,928979724.5,C
AUS,FISHLAND,NLD,USD,A,2002,956130082.1,C
AUS,FISHLAND,NLD,USD,A,2003,1056951311,C
AUS,FISHLAND,NLD,USD,A,2004,1072804176,C
AUS,FISHLAND,NLD,USD,A,2005,1111524969,C
AUS,FISHLAND,NLD,USD,A,2006,1083767076,C
AUS,FISHLAND,NLD,USD,A,2007,1190239135,C
AUS,FISHLAND,NLD,USD,A,2008,1130661605,C
AUS,FISHLAND,NLD,USD,A,2009,1051783064,C
AUS,FISHLAND,NLD,USD,A,2010,1178233125,C
AUS,FISHLAND,NLD,USD,A,2011,1323902160,C
AUS,FISHLAND,NLD,USD,A,2012,1284213057,C
AUS,FISHLAND,NLD,USD,A,2013,1260183069,C
AUS,FISHLAND,NLD,USD,A,2014,1319623088,C
AUS,FISHLAND,NLD,USD,A,2015,1156490369,C
AUS,FISHLAND,NLD,USD,A,2016,1204403203,C
AUS,FISHLAND,NLD,USD,A,2017,1255119418,C
AUS,FISHLAND,NLD,USD,A,2018,1258247476,C
AUS,FISHLAND,NLD,USD,A,2019,1086227024,C
AUS,FISHLAND,NLD,USD,A,2020,971479118.4,C
BEL,FISHLAND,NLD,TONNE,A,1999,21972.714,
BEL,FISHLAND,NLD,TONNE,A,2000,18932.354,
BEL,FISHLAND,NLD,TONNE,A,2001,19092.284,
BEL,FISHLAND,NLD,TONNE,A,2002,21794.365,
BEL,FISHLAND,NLD,TONNE,A,2003,20742.234,
BEL,FISHLAND,NLD,TONNE,A,2004,21146.833,
BEL,FISHLAND,NLD,TONNE,A,2005,19260.445,
BEL,FISHLAND,NLD,TONNE,A,2006,18134.23,
BEL,FISHLAND,NLD,TONNE,A,2007,19179.872,
BEL,FISHLAND,NLD,TONNE,A,2008,17347.157,
BEL,FISHLAND,NLD,TONNE,A,2009,15976.102,
BEL,FISHLAND,NLD,TONNE,A,2010,15969.756,
BEL,FISHLAND,NLD,TONNE,A,2011,16904.537,
BEL,FISHLAND,NLD,TONNE,A,2012,17558.232,
BEL,FISHLAND,NLD,TONNE,A,2013,16359.148,
BEL,FISHLAND,NLD,TONNE,A,2014,19622.566,
BEL,FISHLAND,NLD,TONNE,A,2015,18376.5,
BEL,FISHLAND,NLD,TONNE,A,2016,16712.871,
BEL,FISHLAND,NLD,TONNE,A,2017,16728.02,
BEL,FISHLAND,NLD,TONNE,A,2018,14857.962,
BEL,FISHLAND,NLD,TONNE,A,2019,13754.138,
BEL,FISHLAND,NLD,TONNE,A,2020,12795.635,
BEL,FISHLAND,NLF,TONNE,A,1999,8392.775,
BEL,FISHLAND,NLF,TONNE,A,2000,8840.222,
BEL,FISHLAND,NLF,TONNE,A,2001,9517.995,
BEL,FISHLAND,NLF,TONNE,A,2002,7594.889,
BEL,FISHLAND,NLF,TONNE,A,2003,4086.527,
BEL,FISHLAND,NLF,TONNE,A,2004,2771.999,
BEL,FISHLAND,NLF,TONNE,A,2005,2379.884,
BEL,FISHLAND,NLF,TONNE,A,2006,2281.615,
BEL,FISHLAND,NLF,TONNE,A,2007,2812.846,
BEL,FISHLAND,NLF,TONNE,A,2008,2710.845,
BEL,FISHLAND,NLF,TONNE,A,2009,1736.683,
BEL,FISHLAND,NLF,TONNE,A,2010,3802.953,
BEL,FISHLAND,NLF,TONNE,A,2011,3233.216,
BEL,FISHLAND,NLF,TONNE,A,2012,4335.494,
BEL,FISHLAND,NLF,TONNE,A,2013,6433.962,
BEL,FISHLAND,NLF,TONNE,A,2014,4650.553,
BEL,FISHLAND,NLF,TONNE,A,2015,4112.151,
BEL,FISHLAND,NLF,TONNE,A,2016,7870.108,
BEL,FISHLAND,NLF,TONNE,A,2017,5413.75,
BEL,FISHLAND,NLF,TONNE,A,2018,5774.661,
BEL,FISHLAND,NLF,TONNE,A,2019,5554.829,
BEL,FISHLAND,NLF,TONNE,A,2020,5510.429,
BEL,FISHLAND,NLD,USD,A,1999,80032122.86,
BEL,FISHLAND,NLD,USD,A,2000,61670721,
BEL,FISHLAND,NLD,USD,A,2001,64675549.3,
BEL,FISHLAND,NLD,USD,A,2002,74881994.11,
BEL,FISHLAND,NLD,USD,A,2003,91172535.79,
BEL,FISHLAND,NLD,USD,A,2004,97931101.81,
BEL,FISHLAND,NLD,USD,A,2005,97506808.67,
BEL,FISHLAND,NLD,USD,A,2006,103440838.3,
BEL,FISHLAND,NLD,USD,A,2007,109804974.3,
BEL,FISHLAND,NLD,USD,A,2008,97608741.42,
BEL,FISHLAND,NLD,USD,A,2009,82483653.2,
BEL,FISHLAND,NLD,USD,A,2010,86056948.64,
BEL,FISHLAND,NLD,USD,A,2011,96074695.68,
BEL,FISHLAND,NLD,USD,A,2012,82452378.84,
BEL,FISHLAND,NLD,USD,A,2013,75563581.06,
BEL,FISHLAND,NLD,USD,A,2014,91196761.85,
BEL,FISHLAND,NLD,USD,A,2015,75362680.29,
BEL,FISHLAND,NLD,USD,A,2016,71842153.55,
