index,mean,median,percentile50,std
SLE,8443.84765625,8102.72705078125,8102.72705078125,2150.147216796875
BHS,6332.9384765625,5707.05712890625,5707.05712890625,2566.9150390625
VNM,9124.048828125,8761.7841796875,8761.7841796875,2635.0478515625
DZA,8070.2978515625,8001.6455078125,8001.6455078125,850.2647094726562
AUS,7524.93359375,7253.6630859375,7253.6630859375,1842.879150390625
ATA,5017.73828125,4651.4892578125,4651.4892578125,1154.2923583984375
NOR,8160.314453125,7676.3330078125,7676.3330078125,2116.93505859375
BLZ,10952.0634765625,8417.330078125,8417.330078125,6572.30712890625
GIB,9541.375,9598.2685546875,9598.2685546875,586.4839477539062
MMR,11126.5166015625,10558.6328125,10558.6328125,3813.213623046875
ECU,11387.716796875,11304.150390625,11304.150390625,1180.719482421875
MCO,7017.63427734375,7464.6396484375,7464.6396484375,751.6624755859375
ALB,7560.88134765625,6702.76318359375,6702.76318359375,2486.54931640625
SGP,22782.240234375,23564.552734375,23564.552734375,8808.162109375
LTU,15608.201171875,15839.146484375,15839.146484375,871.1785278320312
SLV,9537.2880859375,9223.07421875,9223.07421875,2121.94775390625
THA,10931.6591796875,10099.2275390625,10099.2275390625,3370.971923828125
NIC,12852.123046875,9816.4052734375,9816.4052734375,8943.857421875
IRQ,9597.2021484375,8654.6552734375,8654.6552734375,1927.24755859375
MAR,7285.1123046875,7188.1142578125,7188.1142578125,974.6360473632812
QAT,8094.77099609375,7968.599609375,7968.599609375,1254.513916015625
CYP,7121.16259765625,7009.34765625,7009.34765625,868.4967651367188
PRT,5914.8876953125,5724.37255859375,5724.37255859375,1275.680908203125
TLS,10027.021484375,9210.87109375,9210.87109375,3463.530517578125
GRC,8056.3447265625,7626.67236328125,7626.67236328125,1791.7142333984375
GBR,5811.390625,5532.01123046875,5532.01123046875,1794.333740234375
EGY,8061.59423828125,7092.2490234375,7092.2490234375,1870.40380859375
POL,16322.1025390625,16288.869140625,16288.869140625,1410.7723388671875
MHL,6573.4833984375,6577.06298828125,6577.06298828125,1650.6995849609375
BEL,11719.7626953125,11738.8974609375,11738.8974609375,1147.2894287109375
VEN,8529.916015625,7846.265625,7846.265625,2835.787353515625
LBN,6744.6376953125,6810.59375,6810.59375,443.20745849609375
STP,8892.3681640625,8850.986328125,8850.986328125,1734.9166259765625
GEO,10742.08984375,9510.767578125,9510.767578125,3287.64111328125
GUY,8871.8115234375,8631.0166015625,8631.0166015625,2323.01318359375
PNG,10730.0224609375,9898.1533203125,9898.1533203125,3558.1708984375
KNA,7616.99560546875,6538.3935546875,6538.3935546875,3603.202392578125
RUS,9338.7353515625,9024.25,9024.25,2076.427490234375
FSM,7463.166015625,7436.19287109375,7436.19287109375,1466.29541015625
TWN,8522.28515625,8273.1904296875,8273.1904296875,1537.0732421875
YEM,8889.794921875,8588.078125,8588.078125,1825.797607421875
NAM,12837.435546875,11408.0,11408.0,5765.26708984375
FRA,6317.68994140625,5770.05908203125,5770.05908203125,1920.4625244140625
GRD,8164.05322265625,7368.73876953125,7368.73876953125,3727.367431640625
COD,13089.3095703125,13020.51171875,13020.51171875,2342.423095703125
MUS,6660.66552734375,6680.56640625,6680.56640625,1124.2491455078125
UKR,14600.5771484375,13612.91015625,13612.91015625,4843.2880859375
PER,12879.9541015625,12084.40234375,12084.40234375,4024.1396484375
NLD,11014.4931640625,10007.5439453125,10007.5439453125,3910.91943359375
GHA,8691.6630859375,8245.7353515625,8245.7353515625,1969.938720703125
TUV,6305.06005859375,6032.85400390625,6032.85400390625,1370.052734375
SOM,9501.1181640625,9455.35546875,9455.35546875,1873.9910888671875
SDN,8487.564453125,8442.2666015625,8442.2666015625,1507.1552734375
SAU,8585.53515625,8410.0595703125,8410.0595703125,1758.77099609375
ESP,7182.578125,6937.79296875,6937.79296875,1813.9569091796875
NZL,6226.1611328125,5770.77734375,5770.77734375,1851.5361328125
BRB,7541.33642578125,7596.275390625,7596.275390625,1375.36962890625
MLT,7250.1669921875,7133.83203125,7133.83203125,871.6676025390625
DEU,12740.1748046875,10889.98046875,10889.98046875,6661.29638671875
HRV,8915.21484375,7507.48388671875,7507.48388671875,3831.55517578125
ISR,6945.91552734375,6891.6181640625,6891.6181640625,392.04327392578125
COL,9876.7216796875,9915.1533203125,9915.1533203125,3433.903564453125
PLW,7538.45361328125,7212.24658203125,7212.24658203125,2015.96337890625
DJI,9876.6787109375,8650.4794921875,8650.4794921875,2753.329345703125
MYS,10794.306640625,9969.00390625,9969.00390625,4299.048828125
LKA,10178.498046875,10015.84375,10015.84375,1707.0469970703125
SLB,9211.4951171875,8396.447265625,8396.447265625,4221.6484375
ISL,7343.4833984375,6966.85693359375,6966.85693359375,2095.1767578125
BEN,9978.73046875,9584.064453125,9584.064453125,1680.3677978515625
LBR,8790.6982421875,8569.6748046875,8569.6748046875,1718.601318359375
BRA,6341.26953125,5811.96875,5811.96875,2021.7474365234375
GMB,8013.70166015625,7275.8544921875,7275.8544921875,1687.05419921875
BIH,17298.3359375,15661.265625,15661.265625,1858.524658203125
CHL,7901.34521484375,7364.8427734375,7364.8427734375,2903.47119140625
JAM,10487.2021484375,9450.5869140625,9450.5869140625,4030.967041015625
PRK,12090.6240234375,11049.91796875,11049.91796875,4305.642578125
JPN,8281.751953125,8093.16357421875,8093.16357421875,2455.426025390625
SWE,12974.5419921875,13192.916015625,13192.916015625,3760.493408203125
CRI,11536.8740234375,11379.6220703125,11379.6220703125,1805.3157958984375
TZA,8388.953125,8118.767578125,8118.767578125,1341.95556640625
IRN,9097.6796875,8277.4296875,8277.4296875,2261.094482421875
TUN,9124.19921875,8274.0048828125,8274.0048828125,2194.533203125
MDV,7660.77099609375,7348.7822265625,7348.7822265625,1955.1629638671875
TTO,8184.361328125,7772.52783203125,7772.52783203125,2086.6953125
IND,10012.896484375,9631.953125,9631.953125,2772.94189453125
HTI,9085.818359375,8558.611328125,8558.611328125,3400.175048828125
IDN,10723.4228515625,9837.861328125,9837.861328125,3830.9423828125
ARG,9231.0419921875,9044.7177734375,9044.7177734375,2605.651611328125
FIN,9968.2744140625,9468.421875,9468.421875,2966.28076171875
FJI,6889.5341796875,6960.5205078125,6960.5205078125,2489.591796875
ITA,8745.1650390625,8162.3837890625,8162.3837890625,3815.76708984375
PAN,10451.2421875,10246.1416015625,10246.1416015625,3216.07177734375
GTM,10787.2578125,10106.2080078125,10106.2080078125,2812.080810546875
ROU,14324.98828125,13161.8056640625,13161.8056640625,5382.23583984375
DMA,7059.65283203125,6953.9580078125,6953.9580078125,2706.103515625
ERI,9162.9169921875,8823.478515625,8823.478515625,1434.9969482421875
BHR,8210.560546875,7821.1123046875,7821.1123046875,1478.5733642578125
GAB,9777.8994140625,9553.703125,9553.703125,2457.01953125
CIV,9398.8701171875,8898.296875,8898.296875,2526.626220703125
KIR,6533.423828125,6344.46923828125,6344.46923828125,1667.226806640625
PAK,10415.666015625,10337.6640625,10337.6640625,1945.0672607421875
OMN,10146.693359375,9530.9375,9530.9375,2143.055419921875
TON,4949.25732421875,4805.77294921875,4805.77294921875,1888.3411865234375
LBY,8193.861328125,8076.9931640625,8076.9931640625,1269.1767578125
USA,8300.080078125,7985.34912109375,7985.34912109375,2963.635009765625
NRU,6741.40283203125,6795.2861328125,6795.2861328125,1012.8367919921875
NGA,9804.142578125,9134.099609375,9134.099609375,3947.233642578125
CUB,9220.521484375,7879.681640625,7879.681640625,4195.15576171875
DNK,7803.86767578125,7333.2216796875,7333.2216796875,2251.23388671875
CMR,12565.375,10255.123046875,10255.123046875,6023.51416015625
LVA,14919.9384765625,15075.7822265625,15075.7822265625,1420.3955078125
HND,10285.30078125,9942.16796875,9942.16796875,3336.892578125
KHM,11063.52734375,9838.185546875,9838.185546875,3904.370361328125
TGO,9818.8154296875,9875.2177734375,9875.2177734375,1100.399658203125
COG,13101.1376953125,13464.1728515625,13464.1728515625,1773.1307373046875
GIN,8459.6806640625,7959.37890625,7959.37890625,3113.068359375
ESH,8409.32421875,7308.94873046875,7308.94873046875,2799.927978515625
SYC,6804.9169921875,6621.95166015625,6621.95166015625,1366.2110595703125
KWT,8161.251953125,7514.32080078125,7514.32080078125,1481.3831787109375
ZAF,7182.13427734375,6665.87890625,6665.87890625,2187.709228515625
PSE,7273.27685546875,7131.16552734375,7131.16552734375,530.9609375
IRL,6081.953125,5761.52099609375,5761.52099609375,1550.153564453125
PHL,10246.62109375,9521.0712890625,9521.0712890625,3283.4775390625
KEN,8768.328125,8438.5634765625,8438.5634765625,1586.2095947265625
SUR,9542.7998046875,8605.3173828125,8605.3173828125,3350.369873046875
JOR,7952.39697265625,7929.68359375,7929.68359375,495.9772644042969
TUR,13320.501953125,13668.857421875,13668.857421875,4625.0283203125
CHN,9391.7060546875,8472.2080078125,8472.2080078125,3417.775634765625
MEX,9794.119140625,9539.6181640625,9539.6181640625,3013.31689453125
AGO,10895.1669921875,10747.4970703125,10747.4970703125,2086.9248046875
BGD,11288.6904296875,10227.06640625,10227.06640625,5397.81201171875
DOM,6695.5068359375,6335.6748046875,6335.6748046875,1890.47021484375
COM,8154.8916015625,7828.08642578125,7828.08642578125,1750.7789306640625
CAN,9387.0380859375,8953.912109375,8953.912109375,2623.726806640625
SEN,8646.189453125,7768.033203125,7768.033203125,2401.81298828125
MDG,8834.5810546875,8424.771484375,8424.771484375,1684.808837890625
ARE,8379.6376953125,8170.84130859375,8170.84130859375,1674.9698486328125
MRT,10462.1474609375,10306.0009765625,10306.0009765625,2794.18603515625
LCA,8101.41015625,7441.3681640625,7441.3681640625,3841.775390625
BRN,10860.9267578125,10422.5849609375,10422.5849609375,2043.33642578125
URY,10479.2138671875,9896.6064453125,9896.6064453125,2938.06005859375
ATG,6320.75390625,6108.53173828125,6108.53173828125,1198.355224609375
KOR,9854.388671875,9287.267578125,9287.267578125,3161.591552734375
WSM,7490.5673828125,6989.9677734375,6989.9677734375,3511.0791015625
CPV,5659.3837890625,5564.107421875,5564.107421875,1196.3271484375
GNQ,7648.9912109375,7403.98583984375,7403.98583984375,1811.1217041015625
MOZ,7662.52099609375,7704.900390625,7704.900390625,1753.4454345703125
SYR,6082.27392578125,6180.4443359375,6180.4443359375,815.0609741210938
VCT,7903.67822265625,7289.84912109375,7289.84912109375,3432.296875
SVN,11054.427734375,8249.2509765625,8249.2509765625,6416.658203125
VUT,8388.8857421875,7918.59228515625,7918.59228515625,2968.974853515625
EST,13692.28515625,13878.90234375,13878.90234375,2439.919677734375
MNE,8166.8037109375,6906.09130859375,6906.09130859375,3983.0439453125
GNB,8622.677734375,7384.08740234375,7384.08740234375,4302.052734375
BGR,13927.2412109375,13299.4599609375,13299.4599609375,4138.62109375
