Country/territory,Total,,Total Commitment Score,Details: NDC sector 1,NDC sector 2,NDC sector 3,NDC sector 4,NDC sector 5,index:,,points
Afghanistan,0,#f4c7c3,0,,,,,,red,NDC=0,0
Albania,0,#f4c7c3,0,,,,,,orange,NDC=1,2
Algeria,0,#f4c7c3,0,,,,,,green,NDC=+1,3
Andorra,0,#f4c7c3,0,,,,,,,,
Angola,4,#b7e1cd,3,Coastal Fisheries,Coastal management,Sea-level Rise Protection,Fisheries and Aquaculture,,,,
Antigua and Barbuda,0,#f4c7c3,0,,,,,,,,
Argentina,0,#f4c7c3,0,,,,,,,,
Armenia,0,#f4c7c3,0,,,,,,,,
Australia,0,#f4c7c3,0,,,,,,,,
Austria,0,#f4c7c3,0,,,,,,,,
Azerbaijan,0,#f4c7c3,0,,,,,,,,
The Bahamas,1,#fce8b2,2,Energy,,,,,,,
Bangladesh,1,#fce8b2,2,Coastal management,,,,,,,
Barbados,2,#b7e1cd,3,Coastal Fisheries,Coastal management,,,,,,
Belarus,0,#f4c7c3,0,,,,,,,,
Belgium,0,#f4c7c3,0,,,,,,,,
Belize,3,#b7e1cd,3,Mangroves,Coastal management,Fisheries and Aquaculture,,,,,
Benin,3,#b7e1cd,3,Mangroves,Coastal management,Sea-level Rise Protection,,,,,
Bhutan,0,#f4c7c3,0,,,,,,,,
Bolivia,0,#f4c7c3,0,,,,,,,,
Bosnia and Herzegovina,0,#f4c7c3,0,,,,,,,,
Botswana,0,#f4c7c3,0,,,,,,,,
Brazil,0,#f4c7c3,0,,,,,,,,
Brunei,0,#f4c7c3,0,,,,,,,,
Bulgaria,0,#f4c7c3,0,,,,,,,,
Burkina Faso,0,#f4c7c3,0,,,,,,,,
Burundi,0,#f4c7c3,0,,,,,,,,
Cambodia,1,#fce8b2,2,Fisheries and Aquaculture,,,,,,,
Cameroun,3,#b7e1cd,3,Fisheries and Aquaculture,Coastal management,Fisheries and Aquaculture,,,,,
Canada,,#b7e1cd,3,,,,,,,,
Cabo Verde,0,#f4c7c3,0,,,,,,,,
Central African Republic,0,#f4c7c3,0,,,,,,,,
Chad,1,#fce8b2,2,Fisheries and Aquaculture,,Landlocked,,,,,
Chile,0,#f4c7c3,0,,,,,,,,
China,1,#fce8b2,2,Coastal management,,,,,,,
Columbia,0,#f4c7c3,0,,,,,,,,
Comoros,0,#f4c7c3,0,,,,,,,,
Cook Islands,0,#f4c7c3,0,,,,,,,,
Costa Rica,1,#fce8b2,2,Coastal management,,,,,,,
Côte d'Ivoire,1,#fce8b2,2,Coastal management,,,,,,,
Croatia,0,#f4c7c3,0,,,,,,,,
Cuba,1,#fce8b2,2,Coastal management,,,,,,,
Cyprus,0,#f4c7c3,0,,,,,,,,
Czechia,0,#f4c7c3,0,,,,,,,,
Democratic Republic of the Congo,1,#fce8b2,2,Coastal management,,,,,,,
Denmark,,#b7e1cd,3,,,,,,,,
Djibouti,4,#b7e1cd,3,Renewable Energy: Ocean,Mangroves,Coastal management,Sea-level Rise Protection,,,,
Dominica,0,#f4c7c3,0,,,,,,,,
Dominican Republic,1,#fce8b2,2,Coastal management,,,,,,,
Ecuador,0,#f4c7c3,0,,,,,,,,
Egypt,1,#fce8b2,2,Coastal management,,,,,,,
El Salvador,0,#f4c7c3,0,,,,,,,,
Equatorial Guinea,0,#f4c7c3,0,,,,,,,,
Eritrea,2,#b7e1cd,3,Coastal management,Coastal Fisheries,,,,,,
Estonia,0,#f4c7c3,0,,,,,,,,
Eswatini,0,#f4c7c3,0,,,,,,,,
Ethiopia,0,#f4c7c3,0,,,,,,,,
EUU,0,#f4c7c3,0,,,,,,,,
Fidji,2,#b7e1cd,3,Mangroves,Coastal management,,,,,,
Finland,0,#f4c7c3,0,,,,,,,,
France,0,#f4c7c3,0,,,,,,,,
Gabon,1,#fce8b2,2,Coastal management,,,,,,,
The Gambia,1,#fce8b2,2,Fisheries and Aquaculture,,,,,,,
