,country_name,marine_protection_percent,biodiversity_percent,Ocean_food_produced(tonnes),Aqua_Production,Catches of Marine Fish,Hours_Trawled
0,Afghanistan,,,6.62,,,117.5322222
1,Albania,,68.69272727,1.270444444,,,7237.54
2,Algeria,,76.38545455,12.4025,,,
3,American Samoa,8.68,14.31,,,,
4,Andorra,,,,,,
5,Angola,,66.58,73.08166667,,,32110.20667
6,Antigua and Barbuda,,28.94636364,0.581666667,,,
7,Argentina,36.74416667,40.83727273,90.59,3219.976818,764230.9585,412975.3656
8,Armenia,,,5.051,,,
9,Australia,20.3375,61.34545455,29.205,87951.93418,165548.1122,74991.45667
10,Austria,,,1.842,3494.590273,,
11,Azerbaijan,,,0.493333333,,,23.29111111
12,Bahamas,,20.69,1.62075,,,
13,Bahrain,,0,,,,458.5322222
14,Bangladesh,,34.46090909,403.8503333,2040933.545,,
15,Barbados,,2.85,0.324166667,,,
16,Belarus,,,6.598,,,
17,Belgium,34.13666667,94.01,3.116875,177.2727273,21484.67918,123393.38
18,Belize,,30.48636364,17.24811111,,,8403.791111
19,Benin,,0,5.82,,,
20,Bhutan,,,,,,
21,Bolivia,,,,,,28.16222222
22,Bosnia and Herzegovina,,,1.14825,,,
23,Botswana,,,0.257,,,
24,Brazil,10.03666667,63.09181818,141.5808889,533571.4926,513300.5385,68098.12778
25,Brunei,,,,,,9.713333333
26,Bulgaria,7.235,99.65,2.341666667,,,14306.94333
27,Burkina Faso,,,10.156,,,
28,Burundi,,,20.335,,,
29,Cambodia,,43.94818182,82.50144444,,,
30,Cameroon,,,27.059,,,10275.99556
31,Canada,3.25,32.97909091,105.8905,177642.2727,830205.8153,155398.7256
32,Central African Republic,,,15.3335,,,
33,Chad,,,52.947,,,
34,Chile,17.595,25.21,361.6655,1141728.88,2551881.455,23089.84889
35,Colombia,10.0175,54.24454545,24.96214286,112660.1505,45156.43443,
36,Comoros,,13,5.4208,,,6317.973333
37,Costa Rica,2.681666667,48.64909091,4.983625,24192.95,15555.6143,
38,Croatia,6.775,63.68545455,10.5485,,,110577.0589
39,Cuba,,68.68727273,5.887222222,,,416.0366667
40,Cyprus,8.575,43.19272727,1.196666667,,,11101.32556
41,Cyprus No Mans Area,0.3625,6.998181818,8295.105333,59314342.47,13612704.91,6797793.586
42,Czech Republic,,,,20696.4,,
43,Democratic Republic of the Congo,,,58.329,,,
44,Denmark,18.03416667,86.95363636,89.83822222,37070.28455,727717.4545,400594.9278
45,Djibouti,,0,0.3958,,,444.4266667
46,Dominica,,0,0.19525,,,2097.522222
47,Dominican Republic,12.74,77.48818182,2.03875,,,
48,Ecuador,12.83416667,69.12272727,108.5963333,,,
49,Egypt,,43.01,174.1122222,,,
50,El Salvador,,37.94818182,7.18725,,,
51,Equatorial Guinea,,100,,,,85.05555556
52,Eritrea,,0,,,,
53,Estonia,19.22416667,97.67272727,9.869375,798.1039091,84375.52829,41649.11
54,Ethiopia,,,21.193,,,
55,Faroe Islands,,13.63909091,,,,176981.86
56,Federated States of Micronesia,,,,,,83.59
57,Fiji,,16.55,5.014333333,,,5.372222222
58,Finland,11.7175,60.17636364,47.648,13742.95182,137714,46217.97889
59,France,41.245,77.93181818,77.73922222,190049.9864,399057.5309,1034415.026
60,Gabon,,62.79,4.726285714,,,
61,Gambia,,40.28545455,7.361714286,,,372.6477778
62,Georgia,0.67,35.64,8.197,,,5358.322222
63,Germany,45.33333333,76.44454545,34.800875,33855.90909,216177.8325,171460.3178
64,Ghana,,19.56,55.22657143,,,19581.81111
65,Greece,4.6875,85.52,20.71577778,119182.3892,62094.20766,220481.4322
66,Greenland,4.429166667,29.36454545,,,,76071.84778
67,Grenada,,24.73909091,0.281222222,,,
68,Guam,23.78,3.53,,,,
69,Guatemala,,43.46363636,5.970857143,,,
70,Guinea,,69.28,21.6595,,,5988.834444
71,Guinea Bissau,,,,,,6642.402222
72,Guyana,,,8.826,,,
73,Haiti,,17.95090909,2.873666667,,,
74,Honduras,,41.01,8.086375,,,164.5944444
75,Hungary,,,11.263,16414.31082,,584.6733333
76,Iceland,0.386666667,14.71545455,135.399,15580.50218,1208843.386,239523.99
77,India,0.06,19.18,1117.242778,5649004.545,,18695.66111
78,Indonesia,2.635,21.37363636,2152.863222,13209433.71,6299594.889,4332.721111
79,Iran (Islamic Republic of),,68,121.6335,,,14834.26444
80,Iraq,,0,12.6702,,,
81,Ireland,1.800833333,78.70363636,36.01455556,39104.07818,244730.4236,253953.5256
82,Israel,0.069166667,13.72181818,3.03425,18972.54545,,21023.63222
83,Italy,5.615833333,72.65545455,39.187,146027.1456,188734.1416,1527030.169
84,Jamaica,,26.6,2.5865,,,
85,Japan,8.7725,65.35909091,514.4674444,1032493.817,3543972.636,59831.05778
86,Jordan,,,0.385,,,
87,Kazakhstan,,,18.8045,,,
88,Kenya,,43.1,18.50155556,,,211.7122222
89,Kiribati,,32.92,13.62133333,,,
90,Kuwait,,21.68363636,0.9604,,,
91,Kyrgyzstan,,,1.214,,,
92,Latvia,16.3675,96.19,17.25828571,692.0860909,119201.5651,35727.37444
93,Lebanon,,10.49363636,0.7655,,,
94,Lesotho,,,0.885,,,
95,Liberia,,96.66,2.024142857,,,2799.213333
96,Libya,,0,5.4705,,,354.1711111
97,Lithuania,20.91916667,79.23727273,12.17788889,3920.704364,75227.93613,27410.19444
98,Luxembourg,,,,,,
99,Madagascar,,16.74090909,16.77955556,,,15520.00333
100,Malawi,,,74.6875,,,
101,Malaysia,,13.71,219.0852222,485560.9915,,61610.07667
102,Maldives,,0,21.8085,,,
103,Mali,,,100.001,,,
104,Malta,5.64,74.80181818,1.088857143,,,8531.413333
105,Marshall Islands,,7.62,,,,
106,Mauritania,,37.24,65.617125,,,728.9722222
107,Mauritius,,11.06,2.011375,,,25.35111111
108,Mexico,11.69833333,59.14909091,195.8234444,196932.4377,1462056.915,542.5188889
109,Mongolia,,,0.049,,,8.396666667
110,Montenegro,,3.238181818,0.323428571,,,2256.14
111,Morocco,,41.21818182,161.157875,,,123318.0711
112,Mozambique,,72.17909091,29.17722222,,,20934.68667
113,Myanmar,,12.89363636,332.246,,,44.76777778
114,Namibia,,82.97181818,52.56577778,,,
115,Nauru,,0,,,,616.9411111
116,Nepal,,,65.212,,,
117,Netherlands,24.595,94.82818182,52.04166667,53073.03636,356471.3121,455756.0189
118,New Zealand,29.81,46.84636364,60.35811111,108140.9409,422496.8756,112594.0978
119,Nicaragua,,49.95,8.40325,,,
120,Niger,,,19.9805,,,
121,Nigeria,,0,129.7,,,6320.097778
122,North Korea,,,,,,113.3566667
123,Northern Cyprus,,,,,,9.006666667
124,Northern Mariana Islands,26.87,47.94,,,,
125,Norway,0.8175,54.06272727,413.2918889,1307226.167,2165830.159,305422.0889
126,Oman,,7.07,35.88757143,,,
127,Pakistan,,14.58,71.18133333,,,15.81222222
128,Palau,,65.05909091,,,,
129,Panama,,23.46,18.74166667,,,
130,Papua New Guinea,,1.89,33.765625,,,
131,Paraguay,,,11.398,,,
132,Peru,0.460833333,51.64,491.8467,112039.3806,5197518.012,568.5722222
133,Philippines,,37.77454545,498.6495556,2379939.254,,
134,Poland,24.3,87.32,40.89966667,37928.26591,125456.1985,95358.46778
135,Portugal,3.705,66.57727273,22.67911111,11200.58773,191886.5388,150715.2689
136,Puerto Rico,1.86,36.74,,,,
137,Qatar,,59.99,,,,1087.598889
138,Romania,15.78916667,88.6,2.482125,,,848.6722222
139,Russian Federation,1.561666667,23.57,519.8551111,179485.2727,,1150788.469
140,Rwanda,,,24.268,,,
141,Saint Kitts and Nevis,,23.68363636,8.301428571,,,2277.056667
142,Saint Lucia,,26.25,0.298142857,,,
143,Saint Vincent and the Grenadines,,26.33,4.686444444,,,5350.434444
144,Samoa,,54.15,1.31325,,,98.01
145,Sao Tome and Principe,,82.49,1.544333333,,,
146,Saudi Arabia,2.61,25.31,14.26985714,,,6117.42
147,Senegal,,23.25545455,57.88325,,,62549.57444
148,Seychelles,,29.76,17.0195,,,
149,Sierra Leone,,31.64272727,28.97585714,,,9.81
150,Singapore,,3.25,,,,966.3844444
151,Slovakia,,,3.548,1683.255818,,
152,Slovenia,3.195,58.56818182,0.24075,1539.754545,288.5513327,2677.692222
153,Solomon Islands,,3.207272727,7.029777778,,,
154,Somalia,,0,,,,1274.037778
155,South Africa,9.383333333,41.98272727,64.36444444,,,126644.7011
156,South Korea,,,,,,147884.5011
157,Spain,8.9775,77.09090909,139.1912222,288241.035,822162.6311,998465.55
158,Sri Lanka,,49.09454545,56.56144444,,,
159,Sudan,,21.80454545,5.92,,,
160,Suriname,,74.24,8.4262,,,
161,Sweden,11.76583333,58.21454545,31.01842857,13039.23636,188292.615,120217.1978
162,Switzerland,,,1.788,1671.109091,,21.67888889
163,Taiwan,,,,307282.0917,843787.3777,120499.7478
164,Tajikistan,,,1.469,,,
165,Thailand,,47.54,293.96,1025829.534,1475389.556,5268.687778
166,Togo,,,3.071875,,,14.30333333
167,Tonga,,19.17,,,,
168,Trinidad and Tobago,,8.49,1.865857143,,,
169,Tunisia,,36.19090909,13.67088889,,,3226.57
170,Turkey,,3.85,,265267.9636,363007.0455,124840.0678
171,Turkmenistan,,,7.519,,,
172,Uganda,,,171.7363333,,,
173,Ukraine,3.281666667,30.74,17.65933333,,,14477.30111
174,United Arab Emirates,,44.61181818,9.43225,,,10.79444444
175,United Kingdom of Great Britain and Northern Ireland,22.0875,84.68090909,100.2333333,215084.4938,665122.5998,707599.3933
176,United Republic of Tanzania,,52.08,60.22755556,,,
177,United States Virgin Islands,0.83,31,,,,
178,United States of America,19.08083333,31.57818182,600.3011111,443636.4275,4984093.636,607511.7456
179,Uruguay,0.451666667,44.32818182,7.352222222,,,115436.98
180,Uzbekistan,,,51.462,,,
181,Vanuatu,,3.3,6.95525,,,2556.274444
182,Venezuela (Bolivarian Republic of),,32.64,29.70666667,,,408.3155556
183,Viet Nam,,21.74090909,775.3925,3582743.334,2418550.571,13120.29111
184,Yemen,,30.64,24.80414286,,,
185,Zambia,,,50.8885,,,
186,Zimbabwe,,,11.712,,,
