Ocean trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEASURE,US dollars at current prices,PARTNER,World,FLOW,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,Total,"  Marine fisheries, aquaculture and hatcheries",  Seafood processing,  Sea minerals,"  Ships, port equipment and parts thereof",    Vessels,      Vessels - Fishing vessels,      Vessels - Transport vessels and floating structures for commercial marine logistics,      Vessels - Pleasure and sporting boats,  High-technology and other manufactures n.e.c.,
YEAR,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
ECONOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39639474.4,6746120,16074181,230710,15517992.59,..,..,..,..,1070470.803,32129685.57,4947034,5144145,109803.5,17611188.84,..,..,..,..,4317514.228,..,..,..,..,..,..,..,..,..,..,
          Albania,132701091.7,18608380,16643485,685435.8005,29570586.44,3066845,823433,477828,1765584,67193204.5,131638491.5,23005226,18270103,508861.3006,29021321.43,3240490,263853,1872048,1104589,60832979.73,82579987.84,10623715,11740820,697304.6002,14853475.83,759153,..,27122,732031,44664672.41,133490797.6,27422910,17420473,706644.6003,24361600.34,1526120,192763,50339,1283018,63579169.62,145146571,35482895,18183128,682017.6001,23395715.35,1257203,101125,151218,1004860,67402815.03,109387730.9,18386291,20995500,197522.9002,16368057.66,756185,49754,71125,635306,53440359.33,112860766.1,16596814,20858963,204211.2001,16713415.16,359483,..,20539,338944,58487362.78,124640362,19629452,26713947,206811.6002,17645710.57,611619,48546,83154,479919,60444440.88,174315767.4,30223264,31903399,189142.7003,27545922.56,951592,44253,..,907339,84454039.16,
          Algeria,1569465339,32466186,106061712,1165292.3,669008187.3,60414381,1290924,46734095,12389362,760763960.9,1822868720,36898076,83856665,1278566.501,885195028.7,20686575,4495431,3315534,12875610,815640384.2,2390435482,95156420,103396548,2532748.516,1159481263,85140939,1143424,72813131,11184384,1029868503,2068001330,70319324,99628950,1295749.504,926641021.2,82545113,839,46842260,35702014,970116285.3,1971349902,67856567,111461309,1929220.702,969713538.4,92673004,299310,59371648,33002046,820389266.6,2385164671,89963104,108529847,1077432.602,1422075972,599675534,479159,585506389,13689986,763518315.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
          Andorra,51705188.43,12056860,6774332,522338.4054,7122210.356,2084842,..,7644,2077198,25229447.67,49686804.53,12287335,7782447,515541.8039,5195973.057,1316706,..,7383,1309323,23905507.67,50008429.04,13204738,7215392,511625.7047,4994188.152,918483,..,7631,910852,24082485.19,45108665.81,11460359,6596705,475351.2043,5323945.281,302988,..,2388,300600,21252305.32,46846496.1,12353386,6340838,431130.104,6562224.686,1598465,..,25070,1573395,21158917.31,52020817.72,12799096,9582985,449681.904,7263113.248,1784058,..,404937,1379121,21925941.57,55438175.8,12900635,10285233,550122.3048,9410679.995,2386771,1167,401056,1984548,22291505.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
          Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1255045581,218612779,103874436,8216228.707,485817045.2,48971149,9373970,29930725,9666454,438525092.6,1157528231,191022884,73185131,5583085.807,516264154.6,175468433,6320560,154206742,14941131,371472975.7,974375356.2,98297969,50199284,4729363.102,525924588.4,274001582,24658392,218483686,30859504,295224151.8,743564217.2,168303798,64835289,8150042.903,250760973.8,46817461,17831795,25376087,3609579,251514113.5,2138756559,139694766,75164716,1276286.704,1686005528,1474068247,43465280,1397314456,33288511,236615263.2,2074918340,55072434,50050507,2509900.7,1772802017,1589621482,15188290,1561159140,13274052,194483481.2,..,..,..,..,..,..,..,..,..,..,
          Argentina,2297689707,51581154,199694550,1762372.8,1071077356,41971632,2384235,27580600,12006797,973574274,2418464549,66492907,179635178,1758291.3,1091552815,26784232,..,14025603,12758629,1079025357,2426392189,64480777,155372698,2605687.003,1123854216,84171888,32055000,48569991,3546897,1080078811,2290743225,71083140,168812052,1808809.1,1000452663,34777872,8541734,15513248,10722890,1048586560,2185857327,80243190,164981175,1639766.199,897001060.8,123859663,19784069,86972009,17103585,1041992135,2561845861,90170491,185917288,4030167.299,1052948414,120667617,6489994,93531169,20646454,1228779500,2508237851,78668118,205511090,3782830.799,1060979047,128547891,39874932,34008420,54664539,1159296765,2279081375,60575187,158044004,2830245.999,973358569.9,160227940,52690171,102063222,5474547,1084273368,1766413581,48520372,165703549,2858607.099,702040383.5,91904343,33151012,51327446,7425885,847290669.5,
          Armenia,..,..,..,..,..,..,..,..,..,..,106104253.8,2596054,31000923,427442.0015,27758645.64,134983,..,15779,119204,44321189.2,106793784.2,2784000,28754066,317534.8007,24286542.13,56476,..,..,56476,50651641.27,81430570.4,2875641,21507490,365876.4,16797576.71,23563,..,8089,15474,39883986.29,78626574.56,2223668,19403684,384023.5001,17911753.13,127896,..,56351,71545,38703445.93,115548232.1,4244866,23295740,462396.3,26166713.42,249517,..,90335,159182,61378516.34,138126694.7,3790564,29205727,610699.5,37284177.92,737247,..,629628,107619,67235526.28,150504801.7,4785220,40263166,631264.4,32314433.57,43093,..,785,42308,72510717.72,154941145.6,3612341,39338888,742521.3001,42833838.9,33448,..,..,33448,68413556.4,
          Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44657820.6,9860433,9456231,1201565.902,8102263.893,1820813,29827,12023,1778963,16037326.8,42255264.32,12027065,9445877,251699.7014,6878537.178,1192653,..,54603,1138050,13652085.44,36034458.22,8712453,8967070,586529.9007,6157469.216,1783167,..,151637,1631530,11610936.1,41070179.43,7566471,10924582,217801.8006,8061946.793,1427309,..,35824,1391485,14299377.83,40029301.2,6373150,11039268,228111.6008,7123789.513,839255,..,34389,804866,15264982.09,29052617.27,3884666,8262535,153094.0001,3849997.753,96487,..,..,96487,12902324.52,33339034.95,2614300,9953997,557507.9001,5514884.123,211509,..,64085,147424,14698345.93,
