2013 EEZ,Country,Average cumulative impact score 
Singapore,Singapore,8.2254
Jordan,Jordan,6.5864
Slovenia,Slovenia,6.191
Bosnia and Herzegovina,Bosnia and Herzegovina,6.1407
China,China,5.1714
Sint-Maarten,Netherlands,5.1454
Gibraltar,United Kingdom,5.1048
Japan - Korea,Joint Regime,5.0725
United Kingdom,United Kingdom,5.0395
Turkey,Turkey,5.0148
Greece,Greece,4.9238
Guernsey,United Kingdom,4.9228
Lebanon,Lebanon,4.8873
Morocco,Morocco,4.8818
South Korea,South Korea,4.8542
Taiwan,Taiwan,4.8087
Algeria,Algeria,4.8073
Cyprus,Cyprus,4.8
Syria,Syria,4.7674
Northern Saint-Martin,France,4.7519
Sri Lanka,Sri Lanka,4.7437
Nigeria,Nigeria,4.711
Iraq,Iraq,4.7103
Israel,Israel,4.6853
Ireland,Ireland,4.6814
Democratic Republic of the Congo,Democratic Republic of the Congo,4.6789
Anguilla,United Kingdom,4.6682
Bulgaria,Bulgaria,4.6524
Saint Lucia,Saint Lucia,4.6443
Puerto Rico and Virgin Islands of the United States,United States,4.6386
Egypt,Egypt,4.6348
British Virgin Islands,United Kingdom,4.6336
Bonaire,Netherlands,4.6268
Faeroe Islands,Denmark,4.6195
Dominican Republic,Dominican Republic,4.6105
Dominica,Dominica,4.6078
Antigua and Barbuda,Antigua and Barbuda,4.592
Western Sahara,Morocco,4.5909
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,4.5492
Curacao,Netherlands,4.5179
Grenada,Grenada,4.5165
Gambia,Gambia,4.5141
Guadeloupe and Martinique,France,4.5112
Mauritania,Mauritania,4.5095
Hala’ib Triangle,Egypt/Sudan Disputed,4.4997
Senegal,Senegal,4.4877
Aruba,Netherlands,4.4854
Sint-Eustasius,Netherlands,4.4726
Malaysia,Malaysia,4.4624
Romania,Romania,4.4608
Portugal,Portugal,4.4455
Canary Islands,Spain,4.445
Iceland,Iceland,4.4267
Barbados,Barbados,4.4202
Montserrat,United Kingdom,4.4144
Haiti,Haiti,4.4101
