Region Name,Country,Type,Total subsidies (USD 2018),SSF subsidies (USD 2018),Reported vs modeled estimates,Sources of information
Africa,Algeria,Fisheries mangt.,1629281,"1,311,597",Modeled,
Africa,Algeria,Fishery R&D,4529978,"396,535",Modeled,
Africa,Algeria,MPAs,508034,"195,083",Modeled,
Africa,Algeria,Boat constsruct. & renov.,43901679,"7,024,269",Reported,"Algeria Plan Aquapeche 2015-2019, Algeria Schema Directeur Peche"
Africa,Algeria,Fisheries dev. projects,25878296,"25,878,296",Reported,"OECDStat, Overseas Development Aid, Fishery Development, Algeria Plan Aquapeche 2015-2019"
Africa,Algeria,Fishing port develop.,31776202,0,Reported,"Algeria Plan Aquapeche 2015-2019, Algeria Schema Directeur Peche"
Africa,Algeria,Markt. & storage infrast.,55303477,0,Modeled,
Africa,Algeria,Tax exemption,0,0,NA,
Africa,Algeria,Fishing access,0,0,NA,
Africa,Algeria,Fuel subsidies,51563511,"3,300,065",Reported,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Africa,Algeria,Fisher assistance,3822169,"1,911,084",Reported,Algeria Plan Aquapeche 2015-2019
Africa,Algeria,Vessel buyback,0,0,NA,
Africa,Algeria,Rural fisher communities,9191270,"9,191,270",Reported,"Algeria Plan Aquapeche 2015-2019, Algeria Schema Directeur Peche"
Africa,Angola,Fisheries mangt.,7402331,0,Reported,"Angola Budget 2017, OECDStat, Overseas Development Aid, Fisheries Policy & Management"
Africa,Angola,Fishery R&D,216103,"99,517",Modeled,
Africa,Angola,MPAs,0,0,NA,
Africa,Angola,Boat constsruct. & renov.,12842686,"5,914,147",Modeled,
Africa,Angola,Fisheries dev. projects,6528960,"6,528,960",Reported,"Angola Budget 2017, OECDStat, Overseas Development Aid, Fishery Development"
Africa,Angola,Fishing port develop.,3484959,"1,148,806",Reported,Angola Budget 2017
Africa,Angola,Markt. & storage infrast.,5855177,"1,932,209",Reported,Angola Budget 2017
Africa,Angola,Tax exemption,12077127,"3,623,138",Reported,LexMundi (2015) Angola Guide to Doing Business
Africa,Angola,Fishing access,377318,0,NA,
Africa,Angola,Fuel subsidies,1883821,"369,229",Reported,SSF sector fuel consumption % of total fuel consumption average 2009-2018 from Greer et al 2019 and seaaroundus.org
Africa,Angola,Fisher assistance,653698,"301,033",Modeled,
Africa,Angola,Vessel buyback,0,0,NA,
Africa,Angola,Rural fisher communities,3679028,"3,679,028",Reported,Angola Budget 2017
Africa,Benin,Fisheries mangt.,9232293,"8,713,729",Modeled,
Africa,Benin,Fishery R&D,451720,"451,720",Modeled,
Africa,Benin,MPAs,0,0,NA,
Africa,Benin,Boat constsruct. & renov.,0,0,NA,
Africa,Benin,Fisheries dev. projects,1121835,"1,121,835",Modeled,
Africa,Benin,Fishing port develop.,0,0,NA,
Africa,Benin,Markt. & storage infrast.,0,0,NA,
Africa,Benin,Tax exemption,0,0,NA,
Africa,Benin,Fishing access,0,0,NA,
Africa,Benin,Fuel subsidies,0,0,NA,
Africa,Benin,Fisher assistance,0,0,NA,
Africa,Benin,Vessel buyback,0,0,NA,
Africa,Benin,Rural fisher communities,232400,"232,400",Modeled,
Africa,Cameroon,Fisheries mangt.,5131498,0,Modeled,
Africa,Cameroon,Fishery R&D,609561,"455,952",Modeled,
Africa,Cameroon,MPAs,1475378,"1,103,581",Modeled,
Africa,Cameroon,Boat constsruct. & renov.,655684,0,Modeled,
Africa,Cameroon,Fisheries dev. projects,17023910,"17,023,910",Modeled,
Africa,Cameroon,Fishing port develop.,0,0,NA,
Africa,Cameroon,Markt. & storage infrast.,0,0,NA,
Africa,Cameroon,Tax exemption,1288361,0,Reported,Republic of Cameroon Circular No. 001/C/MINFI of 2nd January 2018
Africa,Cameroon,Fishing access,538960,0,NA,
Africa,Cameroon,Fuel subsidies,0,0,NA,
Africa,Cameroon,Fisher assistance,0,0,NA,
Africa,Cameroon,Vessel buyback,0,0,NA,
Africa,Cameroon,Rural fisher communities,0,0,NA,
Africa,Cape Verde,Fisheries mangt.,2405245,"834,236",Modeled,
Africa,Cape Verde,Fishery R&D,322245,"139,489",Modeled,
Africa,Cape Verde,MPAs,0,0,NA,
Africa,Cape Verde,Boat constsruct. & renov.,797688,"736,064",Modeled,
Africa,Cape Verde,Fisheries dev. projects,1648341,"802,887",Modeled,
Africa,Cape Verde,Fishing port develop.,0,0,NA,
Africa,Cape Verde,Markt. & storage infrast.,13304054,"9,719,781",Modeled,
Africa,Cape Verde,Tax exemption,1567385,"687,766",Modeled,
Africa,Cape Verde,Fishing access,1221568,0,NA,
Africa,Cape Verde,Fuel subsidies,704134,"264,035",Modeled,
Africa,Cape Verde,Fisher assistance,0,0,NA,
Africa,Cape Verde,Vessel buyback,0,0,NA,
Africa,Cape Verde,Rural fisher communities,0,0,NA,
Africa,Comoros,Fisheries mangt.,3311832,"3,311,832",Reported,"OECDStat, Overseas Development Aid, Fisheries Policy & Management, SWIOFish1 World Bank Appraisal GEF Data Sheet"
Africa,Comoros,Fishery R&D,127233,"68,189",Modeled,
Africa,Comoros,MPAs,0,0,NA,
Africa,Comoros,Boat constsruct. & renov.,0,0,NA,
Africa,Comoros,Fisheries dev. projects,6050084,"1,645,030",Modeled,
Africa,Comoros,Fishing port develop.,47644064,"47,644,064",Reported,"Union des Comores, Plan dInvestissement Quinquennal (PIQ) 2016-2021"
Africa,Comoros,Markt. & storage infrast.,383333,"383,333",Reported,SWIOFish1 World Bank Appraisal GEF Data Sheet
Africa,Comoros,Tax exemption,0,0,NA,
Africa,Comoros,Fishing access,1622523,0,NA,
Africa,Comoros,Fuel subsidies,0,0,NA,
Africa,Comoros,Fisher assistance,0,0,NA,
Africa,Comoros,Vessel buyback,0,0,NA,
Africa,Comoros,Rural fisher communities,65458,"65,458",Modeled,
Africa,Congo Dem Rep,Fisheries mangt.,2842893,0,Modeled,
Africa,Congo Dem Rep,Fishery R&D,0,0,NA,
Africa,Congo Dem Rep,MPAs,439063,"195,179",Modeled,
Africa,Congo Dem Rep,Boat constsruct. & renov.,0,0,NA,
Africa,Congo Dem Rep,Fisheries dev. projects,302615,"302,615",Modeled,
Africa,Congo Dem Rep,Fishing port develop.,0,0,NA,
Africa,Congo Dem Rep,Markt. & storage infrast.,0,0,NA,
Africa,Congo Dem Rep,Tax exemption,0,0,NA,
Africa,Congo Dem Rep,Fishing access,0,0,NA,
Africa,Congo Dem Rep,Fuel subsidies,0,0,NA,
Africa,Congo Dem Rep,Fisher assistance,0,0,NA,
Africa,Congo Dem Rep,Vessel buyback,0,0,NA,
Africa,Congo Dem Rep,Rural fisher communities,0,0,NA,
Africa,Congo Republic,Fisheries mangt.,408629,0,Modeled,
Africa,Congo Republic,Fishery R&D,631605,"251,139",Modeled,
Africa,Congo Republic,MPAs,312560,"97,648",Modeled,
Africa,Congo Republic,Boat constsruct. & renov.,0,0,NA,
Africa,Congo Republic,Fisheries dev. projects,331982,"331,982",Modeled,
Africa,Congo Republic,Fishing port develop.,0,0,NA,
Africa,Congo Republic,Markt. & storage infrast.,0,0,NA,
Africa,Congo Republic,Tax exemption,905913,"452,956",Reported,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19
Africa,Congo Republic,Fishing access,265119,0,NA,
Africa,Congo Republic,Fuel subsidies,0,0,NA,
Africa,Congo Republic,Fisher assistance,0,0,NA,
Africa,Congo Republic,Vessel buyback,0,0,NA,
Africa,Congo Republic,Rural fisher communities,0,0,NA,
Africa,Cote d'Ivoire,Fisheries mangt.,3271595,"937,248",Modeled,
Africa,Cote d'Ivoire,Fishery R&D,854274,"305,434",Modeled,
Africa,Cote d'Ivoire,MPAs,213081,"21,686",Modeled,
Africa,Cote d'Ivoire,Boat constsruct. & renov.,0,0,NA,
Africa,Cote d'Ivoire,Fisheries dev. projects,32851597,"32,851,597",Modeled,
Africa,Cote d'Ivoire,Fishing port develop.,8469529,"616,084",Modeled,
Africa,Cote d'Ivoire,Markt. & storage infrast.,8443324,"8,443,324",Modeled,
Africa,Cote d'Ivoire,Tax exemption,1889723,"1,360,601",Reported,Cote dIvoire Rapport sur la Depense Fiscale 2018
Africa,Cote d'Ivoire,Fishing access,655127,0,NA,
Africa,Cote d'Ivoire,Fuel subsidies,2147413,"2,147,413",Modeled,
Africa,Cote d'Ivoire,Fisher assistance,9256,"6,556",Modeled,
Africa,Cote d'Ivoire,Vessel buyback,0,0,NA,
Africa,Cote d'Ivoire,Rural fisher communities,411788,"411,788",Reported,Cote dIvoire Loi de Finances 2018
Africa,Djibouti,Fisheries mangt.,1876667,"422,922",Modeled,
Africa,Djibouti,Fishery R&D,0,0,NA,
Africa,Djibouti,MPAs,0,0,NA,
Africa,Djibouti,Boat constsruct. & renov.,0,0,NA,
Africa,Djibouti,Fisheries dev. projects,369346,"106,119",Modeled,
Africa,Djibouti,Fishing port develop.,0,0,NA,
Africa,Djibouti,Markt. & storage infrast.,2730000,"316,429",Modeled,
Africa,Djibouti,Tax exemption,61513,"53,332",Reported,Djibouti - Code General Des Impots 2011
Africa,Djibouti,Fishing access,6775,0,NA,
Africa,Djibouti,Fuel subsidies,0,0,NA,
Africa,Djibouti,Fisher assistance,382500,"382,500",Reported,Republique de Djibouti PRAREV- Peche
Africa,Djibouti,Vessel buyback,0,0,NA,
Africa,Djibouti,Rural fisher communities,19226,"19,226",Modeled,
Africa,Egypt,Fisheries mangt.,18845312,"18,845,312",Modeled,
Africa,Egypt,Fishery R&D,1521906,"167,958",Modeled,
Africa,Egypt,MPAs,4741507,"1,283,073",Modeled,
Africa,Egypt,Boat constsruct. & renov.,0,0,NA,
Africa,Egypt,Fisheries dev. projects,24057563,"744,116",Modeled,
Africa,Egypt,Fishing port develop.,19973337,0,Modeled,
Africa,Egypt,Markt. & storage infrast.,0,0,NA,
Africa,Egypt,Tax exemption,0,0,NA,
Africa,Egypt,Fishing access,4416743,0,NA,
Africa,Egypt,Fuel subsidies,0,0,NA,
Africa,Egypt,Fisher assistance,0,0,NA,
Africa,Egypt,Vessel buyback,0,0,NA,
Africa,Egypt,Rural fisher communities,0,0,NA,
Africa,Equatorial Guinea,Fisheries mangt.,175989,0,Modeled,
Africa,Equatorial Guinea,Fishery R&D,0,0,NA,
Africa,Equatorial Guinea,MPAs,1481876,"183,802",Modeled,
Africa,Equatorial Guinea,Boat constsruct. & renov.,0,0,NA,
Africa,Equatorial Guinea,Fisheries dev. projects,135776,"135,776",Modeled,
Africa,Equatorial Guinea,Fishing port develop.,0,0,NA,
Africa,Equatorial Guinea,Markt. & storage infrast.,883872,"381,286",Modeled,
Africa,Equatorial Guinea,Tax exemption,0,0,NA,
Africa,Equatorial Guinea,Fishing access,15258,0,NA,
Africa,Equatorial Guinea,Fuel subsidies,0,0,NA,
Africa,Equatorial Guinea,Fisher assistance,545566,"328,422",Modeled,
Africa,Equatorial Guinea,Vessel buyback,0,0,NA,
Africa,Equatorial Guinea,Rural fisher communities,703957,"703,957",Reported,Ley de Presupuestos Generales del Estado 2017
Africa,Eritrea,Fisheries mangt.,11252411,"3,199,035",Modeled,
Africa,Eritrea,Fishery R&D,75732,"33,320",Modeled,
Africa,Eritrea,MPAs,0,0,NA,
Africa,Eritrea,Boat constsruct. & renov.,0,0,NA,
Africa,Eritrea,Fisheries dev. projects,754344,"209,249",Modeled,
Africa,Eritrea,Fishing port develop.,0,0,NA,
Africa,Eritrea,Markt. & storage infrast.,9858788,"1,142,711",Modeled,
Africa,Eritrea,Tax exemption,0,0,NA,
Africa,Eritrea,Fishing access,0,0,NA,
Africa,Eritrea,Fuel subsidies,0,0,NA,
Africa,Eritrea,Fisher assistance,0,0,NA,
Africa,Eritrea,Vessel buyback,0,0,NA,
Africa,Eritrea,Rural fisher communities,38962,"38,962",Modeled,
Africa,Gabon,Fisheries mangt.,19147681,0,Modeled,
Africa,Gabon,Fishery R&D,4486358,"1,251,695",Modeled,
Africa,Gabon,MPAs,12007263,"3,350,023",Modeled,
Africa,Gabon,Boat constsruct. & renov.,1733674,"1,100,888",Modeled,
Africa,Gabon,Fisheries dev. projects,5127872,"5,127,872",Modeled,
Africa,Gabon,Fishing port develop.,0,0,NA,
Africa,Gabon,Markt. & storage infrast.,3894781,"1,701,143",Modeled,
Africa,Gabon,Tax exemption,6036532,"3,833,198",Reported,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19
Africa,Gabon,Fishing access,24940,0,NA,
Africa,Gabon,Fuel subsidies,7429374,"1,645,832",Modeled,
Africa,Gabon,Fisher assistance,0,0,NA,
Africa,Gabon,Vessel buyback,0,0,NA,
Africa,Gabon,Rural fisher communities,2399530,"2,399,525",Modeled,
Africa,Gambia,Fisheries mangt.,1085071,"368,872",Modeled,
Africa,Gambia,Fishery R&D,1244211,"527,881",Modeled,
Africa,Gambia,MPAs,232968,"28,135",Modeled,
Africa,Gambia,Boat constsruct. & renov.,0,0,NA,
Africa,Gambia,Fisheries dev. projects,5152612,"5,152,612",Modeled,
Africa,Gambia,Fishing port develop.,4277858,"311,177",Modeled,
Africa,Gambia,Markt. & storage infrast.,7284019,"7,284,019",Modeled,
Africa,Gambia,Tax exemption,858149,"858,149",Modeled,
Africa,Gambia,Fishing access,16466,0,NA,
Africa,Gambia,Fuel subsidies,0,0,NA,
Africa,Gambia,Fisher assistance,0,0,NA,
Africa,Gambia,Vessel buyback,0,0,NA,
Africa,Gambia,Rural fisher communities,640120,"640,120",Modeled,
Africa,Ghana,Fisheries mangt.,5107681,"1,915,380",Reported,"Ghana Expenditure Framework 2018-2021, OECDStat, Overseas Development Aid, Fisheries Policy & Management"
Africa,Ghana,Fishery R&D,2397032,"1,235,661",Modeled,
Africa,Ghana,MPAs,474610,"99,462",Modeled,
Africa,Ghana,Boat constsruct. & renov.,4693988,"4,693,988",Reported,USAID Sustainable Fisheries Management Project (2016) Subsidies in Ghanas Marine Artisanal Fisheries Sector
Africa,Ghana,Fisheries dev. projects,474610,"355,957",Modeled,
Africa,Ghana,Fisheries dev. projects,34442053,"25,831,540",Modeled,
