,Total commitment score,Total vulnerability score,Total policies and action score,Number of indicators available,Aggregated data,country_agg,aggregate_indicator3_divde_by_3,agg
0,-1,,,1,-1,Afghanistan,-1.25,-0.625
1,-1,"-0,9333333333","-0,1666666667",3,"-0,7",Albania,-0.25,-0.125
2,-1,-1,"0,5",3,"-0,5",Algeria,0.5,0.25
3,-1,,,1,-1,Andorra,-0.75,-0.375
4,4,-1,"0,1666666667",3,"-0,2777777778",Angola,4.75,2.375
5,-1,"-0,6","1,5",3,"-0,03333333333",Antigua and Barbuda,1.5,0.75
6,-1,"-0,9333333333","-0,25",3,"-0,7277777778",Argentina,0,0
7,-1,,,1,-1,Armenia,0.5,0.25
8,-1,-1,"0,4166666667",3,"-0,5277777778",Australia,0,0
9,-1,,"-1,5",2,"-1,25",Austria,-1.5,-0.75
10,-1,,0,2,"-0,5",Azerbaijan,0,0
11,1,"-1,666,666,667","-0,25",3,"-0,6388888889",The Bahamas,1,0.5
12,1,"-1,266,666,667",1,3,"-0,08888888889",Bangladesh,0.75,0.375
13,2,"-1,333,333,333","0,5",3,"-0,2777777778",Barbados,2,1
14,-1,,0.142857143,2,"-0,5",Belarus,0.142857143,0.071428572
15,-1,"-0,9333333333","-0,08333333333",3,"-0,6722222222",Belgium,0.25,0.125
16,3,"-1,266,666,667","0,8333333333",3,"-0,1444444444",Belize,3.75,1.875
17,3,"-1,333,333,333","1,5",3,"0,05555555556",Benin,3.75,1.875
18,-1,,1,2,0,Bhutan,1,0.5
19,-1,0,0,3,"-0,3333333333",Bolivia,0,0
20,-1,,"0,5",2,"-0,25",Bosnia and Herzegovina,0.5,0.25
21,-1,,,1,-1,Botswana,1,0.5
22,-1,"-0,9333333333","0,125",3,"-0,6027777778",Brazil,0,0
23,-1,-1,1,3,"-0,3333333333",Brunei,1,0.5
24,-1,"-0,9333333333","-0,6666666667",3,"-0,8666666667",Bulgaria,0,0
25,-1,,,1,-1,Burkina Faso,0,0
26,-1,,,1,-1,Burundi,0,0
27,1,-1,"0,5",3,"-0,1666666667",Cambodia,1,0.5
28,3,"-1,333,333,333",,2,"-0,6666666667",Cameroun,3,1.5
29,2,"-0,9333333333","0,08",3,"-0,2833333333",Canada,0,0
30,-1,"-1,6",,2,"-1,3",Cabo Verde,0.25,0.125
31,-1,,,1,-1,Central African Republic,0,0
32,1,,,1,0,Chad,1,0.5
33,-1,"-0,9333333333","0,7083333333",3,"-0,4083333333",Chile,-1,-0.5
34,1,"-0,6333333333",-1,3,"-0,5444444444",China,2,1
35,-1,"-0,9333333333","0,7083333333",3,"-0,4083333333",Columbia,0,0
36,-1,"-0,9333333333",,2,"-0,9666666667",Comoros,0.666666667,0.333333334
37,-1,,"2,333,333,333",2,"0,6666666667",Cook Islands,0.285714286,0.142857143
38,1,"-0,9333333333","0,125",3,"-0,2694444444",Costa Rica,1,0.5
39,1,"-1,266,666,667",0,3,"-0,4222222222",Côte d'Ivoire,0,0
40,-1,"-0,9333333333","-0,04166666667",3,"-0,6583333333",Croatia,1.5,0.75
41,1,"-0,9333333333",2,3,"0,3555555556",Cuba,1.75,0.875
42,-1,"-0,9333333333","-0,3333333333",3,"-0,7555555556",Cyprus,-3,-1.5
43,-1,,,1,-1,Czechia,0,0
44,1,"-0,9333333333",,2,"-0,4666666667",Democratic Republic of the Congo,0.857142857,0.428571429
45,-1,"-0,9333333333","-0,375",3,"-0,7694444444",Denmark,0.5,0.166666667
46,4,-1,,2,"-0,5",Djibouti,3.75,1.875
47,-1,"-0,95","0,1666666667",3,"-0,5944444444",Dominica,1,0.5
48,1,"-0,9333333333","1,00",3,"0,02222222222",Dominican Republic,1.4,0.7
49,-1,"-0,9333333333","0,5",3,"-0,4777777778",Ecuador,0,0
50,1,"-0,9333333333",,2,"-0,4666666667",Egypt,1.5,0.75
51,-1,-1,1,3,"-0,3333333333",El Salvador,0.75,0.375
52,-1,"-0,9333333333","1,166,666,667",3,"-0,2555555556",Equatorial Guinea,0.5,0.25
