Indicator 3 Positive,"Total marine protected areas as share of exclusive economic zone, %",,Share of Subsidies to SSF,,"Marine protected area designated with IUCN management objectives I-III which generally preclude commercial fishing and other extractive industries, as share of exclusive economic zone, %",,Growth rate MPAs,,Bonus points,,Indicator 3 Negative,Overfishing Index,,Fuel subsidies,,Thrawling,,,Indicator 2,Total commitment score,Indicator 1,Total vulnerability score,,Indicator 3,Total policies and action score
Australia,3,Algeria,2,Australia,2,Anguilla,1,Albania,0.2,,Afghanistan,0,Algeria,-3,Afghanistan,1,,,Afghanistan,0,ALBANIA,-1,204,Åland Islands,0.5
Belgium,3,Angola,2,Belgium,1,Argentina,1,Algeria,0,,Åland Islands,0,Angola,-3,Albania,-3,,,Albania,0,ALGERIA,-1,203,Afghanistan,-1.25
Canada,1,Benin,3,Canada,1,Australia,3,Samoa,0,,Albania,-1,Benin,0,Algeria,0,,,Algeria,0,ANGOLA,0,161,Albania,-0.25
Chile,3,Cameroon,3,Chile,3,Belgium,1,Andorra,0,,Algeria,0,Cameroon,0,American Samoa,0,,,Andorra,0,ANTIGUA AND BARBUDA,0.166666667,96,Algeria,0.5
Colombia,2,Cape Verde,3,Colombia,1,Bermuda,1,Angola,0,,American Samoa,0,Cape Verde,-3,Andorra,0,,,Angola,4,ARGENTINA,-1,31,Samoa,0
Costa Rica,1,Comoros,3,Costa Rica,1,Bonaire,1,Anguilla,0,,Andorra,0,Comoros,0,Angola,-3,,,Antigua and Barbuda,0,ARUBA,0,205,Andorra,-0.75
Denmark,2,Congo Republic,2,Denmark,1,Bouvet Island,1,Antigua and Barbuda,0.1,,Angola,1,Congo Dem Rep,0,Antigua and Barbuda,0,,,Argentina,0,AUSTRALIA,0,97,Angola,0.75
Estonia,2,Cote d'Ivoire,3,Estonia,1,Brazil,3,Argentina,0,,Anguilla,0,Congo Republic,0,Argentina,-3,,,Armenia,0,"BAHAMAS, THE",0,32,Anguilla,1
Finland,2,Djibouti,1,Finland,2,British Indian Ocean Territory,1,Armenia,0,,Antigua and Barbuda,2,Cote d'Ivoire,-3,Armenia,0,,,Australia,0,BAHRAIN,-1.5,206,Antigua and Barbuda,1.5
France,3,Equatorial Guinea,2,France,1,British Virgin Islands,1,Aruba,0,,Argentina,0,Djibouti,0,Australia,-3,,,Austria,0,BANGLADESH,0,179,Antigua Barb,1
