,Indicator 2,Total commitment score,Indicator 1,Total vulnerability score,country,Indicator 3,Total policies and action score,aggregate_indicator3_divde_by_3,agg
0,Afghanistan,0.0,,,Afghanistan,Afghanistan,-1.25,-1.25,-0.625
1,Albania,0.0,,,Albania,Albania,-0.25,-0.25,-0.125
2,Algeria,0.0,,,Algeria,Algeria,0.5,0.5,0.25
3,Andorra,0.0,,,Andorra,Andorra,-0.75,-0.75,-0.375
4,Angola,4.0,,,Angola,Angola,0.75,4.75,2.375
5,Antigua and Barbuda,0.0,,,Antigua and Barbuda,Antigua and Barbuda,1.5,1.5,0.75
6,Argentina,0.0,,,Argentina,Argentina,0.0,0.0,0.0
7,Armenia,0.0,,,Armenia,Armenia,0.5,0.5,0.25
8,Australia,0.0,,,Australia,Australia,0.0,0.0,0.0
9,Austria,0.0,,,Austria,Austria,-1.5,-1.5,-0.75
10,Azerbaijan,0.0,,,Azerbaijan,Azerbaijan,0.0,0.0,0.0
11,The Bahamas,1.0,,,The Bahamas,,,1.0,0.5
12,Bangladesh,1.0,,,Bangladesh,Bangladesh,-0.25,0.75,0.375
13,Barbados,2.0,,,Barbados,Barbados,0.0,2.0,1.0
14,Belarus,0.0,,,Belarus,Belarus,0.142857143,0.142857143,0.0714285715
15,Belgium,0.0,,,Belgium,Belgium,0.25,0.25,0.125
16,Belize,3.0,,,Belize,Belize,0.75,3.75,1.875
17,Benin,3.0,,,Benin,Benin,0.75,3.75,1.875
18,Bhutan,0.0,,,Bhutan,Bhutan,1.0,1.0,0.5
19,Bolivia,0.0,,,Bolivia,Bolivia,0.0,0.0,0.0
20,Bosnia and Herzegovina,0.0,,,Bosnia and Herzegovina,Bosnia and Herzegovina,0.5,0.5,0.25
21,Botswana,0.0,,,Botswana,Botswana,1.0,1.0,0.5
22,Brasil,0.0,,,Brasil,,,0.0,0.0
23,Brunei,0.0,,,Brunei,Brunei,1.0,1.0,0.5
24,Bulgaria,0.0,,,Bulgaria,Bulgaria,0.0,0.0,0.0
25,Burkina Faso,0.0,,,Burkina Faso,Burkina Faso,0.0,0.0,0.0
26,Burundi,0.0,,,Burundi,Burundi,0.0,0.0,0.0
27,Cambodia,1.0,,,Cambodia,Cambodia,0.0,1.0,0.5
28,Cameroun,3.0,,,Cameroun,,,3.0,1.5
29,Canada,,,,Canada,Canada,0.0,0.0,0.0
30,Cabo Verde,0.0,,,Cabo Verde,Cabo Verde,0.25,0.25,0.125
31,Central African Republic,0.0,,,Central African Republic,Central African Republic,0.0,0.0,0.0
32,Chad,1.0,,,Chad,Chad,0.0,1.0,0.5
33,Chile,0.0,,,Chile,Chile,-1.0,-1.0,-0.5
34,China,1.0,,,China,China,1.0,2.0,1.0
35,Columbia,0.0,,,Columbia,,,0.0,0.0
36,Comoros,0.0,,,Comoros,Comoros,0.666666667,0.666666667,0.3333333335
37,Cook Islands,0.0,,,Cook Islands,Cook Islands,0.285714286,0.285714286,0.142857143
38,Costa Rica,1.0,,,Costa Rica,Costa Rica,0.0,1.0,0.5
39,Côte d'Ivoire,1.0,,,Côte d'Ivoire,Côte d'Ivoire,-1.0,0.0,0.0
40,Croatia,0.0,,,Croatia,Croatia,1.5,1.5,0.75
41,Cuba,1.0,,,Cuba,Cuba,0.75,1.75,0.875
42,Cyprus,0.0,,,Cyprus,Cyprus,-3.0,-3.0,-1.5
43,Czechia,0.0,,,Czechia,Czechia,0.0,0.0,0.0
44,Democratic Republic of the Congo,1.0,,,Democratic Republic of the Congo,Democratic Republic of the Congo,-0.142857143,0.857142857,0.4285714285
45,Denmark,,,,Denmark,Denmark,0.5,0.5,0.16666666666666666
46,Djibouti,4.0,,,Djibouti,Djibouti,-0.25,3.75,1.875
47,Dominica,0.0,,,Dominica,Dominica,1.0,1.0,0.5
48,Dominican Republic,1.0,,,Dominican Republic,Dominican Republic,0.4,1.4,0.7
49,Ecuador,0.0,,,Ecuador,Ecuador,0.0,0.0,0.0
50,Egypt,1.0,,,Egypt,Egypt,0.5,1.5,0.75
51,El Salvador,0.0,,,El Salvador,El Salvador,0.75,0.75,0.375
52,Equatorial Guinea,0.0,,,Equatorial Guinea,Equatorial Guinea,0.5,0.5,0.25
